DEPTH d	VALUE d	COUNT d
1374.86000000	55.05182870	0.00000000
1375.05000000	53.17810157	0.00000000
1375.05000000	53.17810157	0.00000000
1375.05000000	53.17810157	0.00000000
1375.29500000	52.75003767	0.00000000
1375.29500000	52.75003767	0.00000000
1375.54000000	52.05007063	0.00000000
1375.54000000	52.05007063	0.90000000
1386.61000000	52.36707003	1.00000000
1386.86000000	48.29609238	1.00000000
1394.52500000	56.36706240	0.90000000
1394.52500000	56.36706240	0.90000000
1396.85000000	60.78508161	0.90000000
1396.85000000	60.78508161	0.00000000
1396.91000000	59.99141123	0.00000000
1396.91000000	59.99141123	0.00000000
1396.91000000	59.99141123	0.90000000
1397.63000000	61.21597768	0.90000000
1397.63000000	61.21597768	0.90000000
1398.29000000	61.29142869	0.00000000
1400.35000000	66.79874384	0.90000000
1400.35000000	66.79874384	0.00000000
1400.35000000	66.79874384	0.00000000
1402.08000000	66.18490155	0.00000000
1402.08000000	66.18490155	0.00000000
1402.08000000	66.18490155	0.90000000
1403.98000000	68.87525461	1.00000000
1407.54500000	66.65069763	0.00000000
1407.54500000	66.65069763	0.00000000
1407.54500000	66.65069763	0.00000000
1411.21000000	64.95646184	0.00000000
1411.21000000	64.95646184	0.00000000
1412.75000000	63.16851691	0.00000000
1412.75000000	63.16851691	0.90000000
1413.06500000	63.85707889	0.90000000
1413.06500000	63.85707889	0.00000000
1413.06500000	63.85707889	0.00000000
1413.53000000	63.25364347	1.00000000
1413.84000000	63.30555699	0.00000000
1416.05000000	64.34961957	0.90000000
1416.05000000	64.34961957	0.00000000
1416.05000000	64.34961957	0.00000000
1418.10000000	63.44758145	1.00000000
1418.25000000	65.07714630	0.00000000
1421.61000000	66.19613613	1.00000000
1425.26500000	64.94719871	0.00000000
1429.26000000	64.23615661	1.00000000
1430.10000000	65.02034063	0.00000000
1430.31000000	65.23025620	0.90000000
1430.31000000	65.23025620	0.00000000
1430.31000000	65.23025620	0.00000000
1430.31000000	65.23025620	0.90000000
1431.24500000	65.55544147	0.90000000
1431.24500000	65.55544147	0.00000000
1431.24500000	65.55544147	0.00000000
1431.46000000	65.49375833	0.00000000
1431.46000000	65.49375833	0.00000000
1431.46000000	65.49375833	0.90000000
1431.48000000	65.84353586	1.00000000
1431.48500000	65.18661170	0.00000000
1431.48500000	65.18661170	0.90000000
1431.49000000	65.24950680	0.00000000
1432.03500000	66.29418886	1.00000000
1432.64000000	65.92746980	0.00000000
1435.45000000	65.19183384	1.00000000
1450.78000000	68.05590397	0.00000000
1451.12000000	68.82505017	0.90000000
1451.12000000	68.82505017	0.00000000
1451.12000000	68.82505017	0.00000000
1451.12000000	68.82505017	0.90000000
1451.16000000	69.70382046	0.00000000
1451.26000000	69.98088822	0.00000000
1451.32000000	70.42466788	0.90000000
1451.32000000	70.42466788	0.00000000
1451.32000000	70.42466788	0.90000000
1451.38000000	70.94007092	0.90000000
1451.38000000	70.94007092	0.00000000
1451.44000000	70.06445030	1.00000000
1451.59000000	70.12448109	0.00000000
1456.06000000	70.97190174	0.90000000
1456.06000000	70.97190174	0.90000000
1456.69000000	71.33262410	1.00000000
1457.32000000	71.22041123	0.00000000
1463.02000000	68.08653484	0.00000000
1464.70000000	67.72582740	0.00000000
1468.64000000	67.23461166	0.00000000
1468.64000000	67.23461166	0.00000000
1468.64000000	67.23461166	0.00000000
1468.64000000	67.23461166	0.00000000
1468.64000000	67.23461166	0.00000000
1468.83000000	66.46937466	0.00000000
1469.11000000	65.65906180	1.00000000
1469.20000000	66.55379237	0.00000000
1469.40500000	67.37397973	0.90000000
1469.40500000	67.37397973	0.00000000
1469.40500000	67.37397973	0.00000000
1469.40500000	67.37397973	0.90000000
1469.61000000	67.89145927	1.00000000
1470.50000000	67.44285245	0.00000000
1470.84000000	65.50155993	0.00000000
1470.84000000	65.50155993	0.00000000
1470.84000000	65.50155993	0.00000000
1470.89000000	65.01343716	1.00000000
1471.30000000	70.67572004	0.00000000
1479.17500000	74.13027329	0.00000000
1479.57000000	78.51714800	0.90000000
1479.57000000	78.51714800	0.00000000
1486.71000000	75.44728407	0.00000000
1486.71000000	75.44728407	0.00000000
1486.71000000	75.44728407	0.00000000
1486.71000000	75.44728407	0.00000000
1486.71000000	75.44728407	0.00000000
1493.85000000	73.85570930	0.00000000
1493.85000000	69.44832769	1.00000000
1500.16000000	72.82265027	0.90000000
1500.16000000	72.82265027	0.00000000
1501.47500000	68.72512349	0.00000000
1501.47500000	68.72512349	0.00000000
1501.47500000	68.72512349	0.00000000
1501.47500000	68.72512349	0.00000000
1501.47500000	68.72512349	0.00000000
1502.79000000	65.45577063	1.00000000
1507.99000000	67.99755430	0.00000000
1508.08000000	68.06357144	0.90000000
1508.08000000	68.06357144	0.00000000
1508.08000000	68.06357144	0.00000000
1508.08000000	68.06357144	0.00000000
1508.17000000	67.84162052	0.00000000
1508.17000000	67.84162052	0.00000000
1508.52000000	67.79356547	0.00000000
1509.31500000	67.27463315	0.00000000
1509.31500000	67.27463315	0.00000000
1509.31500000	67.27463315	0.90000000
1509.76000000	68.96007814	0.00000000
1515.37000000	69.34221170	1.00000000
1515.99000000	68.78685337	1.00000000
1516.61000000	69.68131602	0.90000000
1516.61000000	69.68131602	0.90000000
1516.72000000	69.73485218	0.00000000
1516.83000000	70.81933534	0.90000000
1516.83000000	70.81933534	0.90000000
1518.36000000	72.21119267	1.00000000
1520.04000000	72.03862955	0.00000000
1524.39000000	71.55041899	0.00000000
1524.39000000	71.55041899	0.00000000
1524.39000000	71.55041899	0.00000000
1524.39000000	71.55041899	0.00000000
1524.39000000	71.55041899	0.00000000
1524.39000000	71.55041899	0.90000000
1525.01500000	71.96663094	0.00000000
1527.43000000	73.28337230	0.90000000
1527.43000000	73.28337230	0.00000000
1527.43000000	73.28337230	0.00000000
1529.36000000	71.93550676	1.00000000
1529.54500000	72.15426114	0.00000000
1529.68000000	74.14111098	0.90000000
1529.68000000	74.14111098	0.00000000
1534.41500000	71.97027075	1.00000000
1539.15000000	72.17676032	1.00000000
1539.98500000	70.93032912	0.00000000
1539.98500000	70.93032912	0.00000000
1539.98500000	70.93032912	0.90000000
1540.82000000	71.42413987	0.00000000
1541.11000000	72.80586835	0.00000000
1542.20500000	74.46625077	0.90000000
1542.20500000	74.46625077	0.00000000
1542.20500000	74.46625077	0.00000000
1546.09500000	69.78539687	0.00000000
1546.09500000	69.78539687	0.00000000
1548.89000000	68.18729204	0.00000000
1551.80500000	66.16680665	0.00000000
1553.53000000	65.52879135	0.00000000
1553.53000000	65.52879135	0.00000000
1553.66500000	64.96297309	0.00000000
1553.80000000	63.54632905	0.00000000
1556.28000000	60.64624760	0.00000000
1556.28000000	60.64624760	0.90000000
1556.45000000	61.78559117	0.90000000
1556.45000000	61.78559117	0.90000000
1556.68000000	63.63395170	0.00000000
1557.46000000	64.63229920	0.00000000
1559.37500000	65.45721076	1.00000000
1561.39000000	65.27767958	0.00000000
1561.39000000	65.27767958	0.00000000
1565.27500000	63.75834872	1.00000000
1565.32000000	64.36548002	0.00000000
1565.39500000	64.84916015	0.00000000
1566.51000000	67.08663405	0.00000000
1568.08000000	68.59178589	0.00000000
1569.32500000	69.77390011	0.00000000
1570.17000000	71.03062519	0.00000000
1570.74500000	71.61868270	0.90000000
1570.74500000	71.61868270	0.00000000
1570.74500000	71.61868270	0.00000000
1570.74500000	71.61868270	0.90000000
1572.07500000	72.68339627	0.90000000
1572.07500000	72.68339627	0.00000000
1572.07500000	72.68339627	0.00000000
1572.07500000	72.68339627	0.90000000
1573.21000000	73.08271418	0.00000000
1573.24000000	73.26489998	1.00000000
1573.51000000	72.89670545	1.00000000
1574.11500000	73.56513676	1.00000000
1574.58500000	73.36098191	1.00000000
1575.32000000	74.39230560	0.00000000
1575.44000000	74.49472424	1.00000000
1575.48000000	74.35695525	0.00000000
1589.49500000	74.09076068	0.00000000
1590.02000000	72.44744222	0.00000000
1590.70500000	71.81161692	0.00000000
1590.70500000	71.81161692	0.00000000
1591.71000000	70.63387561	1.00000000
1597.30000000	70.83554739	1.00000000
1598.16000000	70.50316459	0.00000000
1598.16000000	70.50316459	0.00000000
1598.16000000	70.50316459	0.00000000
1598.16000000	70.50316459	0.00000000
1598.16000000	70.50316459	0.00000000
1598.16000000	70.50316459	0.90000000
1598.24000000	71.74204750	1.00000000
1598.28500000	71.26302649	1.00000000
1598.49500000	71.36244587	1.00000000
1599.36500000	69.08275248	0.00000000
1599.61000000	68.16822005	0.00000000
1600.00000000	67.42042673	0.00000000
1607.93000000	63.92008003	0.00000000
1608.01000000	63.39015402	1.00000000
1608.01000000	63.45667411	1.00000000
1608.06000000	63.29464041	1.00000000
1608.11000000	63.48509494	1.00000000
1608.12500000	63.47095771	0.00000000
1608.47000000	63.11748146	0.00000000
1610.05500000	62.06364156	0.00000000
1611.14000000	60.52245639	1.00000000
1611.28000000	60.58548172	0.90000000
1611.28000000	60.58548172	0.00000000
1611.28000000	60.58548172	0.00000000
1611.42000000	60.51788688	0.00000000
1611.42000000	60.51788688	0.00000000
1611.46000000	59.70311014	0.00000000
1611.58000000	58.77939328	0.00000000
1611.66500000	57.77414053	0.00000000
1611.82000000	57.60160628	1.00000000
1612.72000000	58.22379325	0.00000000
1612.78000000	58.79683163	0.00000000
1618.08000000	62.01128712	0.00000000
1623.43000000	63.45639082	1.00000000
1628.84000000	63.17064195	1.00000000
1629.10000000	64.11636441	1.00000000
1629.36000000	63.37614994	1.00000000
1629.95000000	63.43390395	0.00000000
1630.54000000	63.85739629	1.00000000
1631.57000000	63.67434779	0.00000000
1631.57000000	63.67434779	0.00000000
1631.57000000	63.67434779	0.00000000
1631.57000000	63.67434779	0.00000000
1631.57000000	63.67434779	0.90000000
1634.35000000	65.92253988	0.90000000
1634.35000000	65.92253988	0.90000000
1640.68000000	67.34056961	0.90000000
1640.68000000	67.34056961	0.00000000
1640.68000000	67.34056961	0.90000000
1643.35000000	67.80918857	0.00000000
1644.39500000	68.49439096	0.00000000
1645.44000000	68.77236472	0.00000000
1645.50000000	69.30753204	0.90000000
1645.50000000	69.30753204	0.00000000
1645.50000000	69.30753204	0.00000000
1645.56000000	69.01182795	0.00000000
1645.56000000	69.01182795	0.90000000
1645.64000000	69.45975254	0.00000000
1645.77000000	69.87415193	0.00000000
1645.82000000	71.14927347	0.90000000
1645.82000000	71.14927347	0.00000000
1645.82000000	71.14927347	0.00000000
1645.82000000	71.14927347	0.00000000
1645.82000000	71.14927347	0.00000000
1645.90000000	70.30238118	0.00000000
1657.39000000	70.28122566	1.00000000
1664.31000000	70.72789443	1.00000000
1664.41000000	70.06379654	0.00000000
1664.41000000	70.06379654	0.00000000
1664.41000000	70.06379654	0.00000000
1664.41000000	70.06379654	0.00000000
1664.41000000	70.06379654	0.00000000
1664.41000000	70.06379654	0.00000000
1664.41000000	70.06379654	0.00000000
1664.41000000	70.06379654	0.00000000
1664.41000000	70.06379654	0.00000000
1664.41000000	70.06379654	0.00000000
1664.51000000	69.59500456	0.00000000
1664.53500000	69.42598976	0.00000000
1664.53500000	69.42598976	0.00000000
1664.53500000	69.42598976	0.00000000
1664.53500000	69.42598976	0.00000000
1664.53500000	69.42598976	0.00000000
1664.53500000	69.42598976	0.00000000
1664.56000000	68.44588731	0.00000000
1683.64000000	65.07337580	0.00000000
1683.64000000	65.07337580	0.00000000
1683.64000000	63.97987187	0.00000000
1683.64000000	63.97987187	0.90000000
1688.95000000	76.40456300	0.90000000
1688.95000000	76.40456300	0.00000000
1689.95000000	74.90201258	0.00000000
1689.95000000	74.90201258	0.00000000
1689.95000000	74.90201258	0.00000000
1689.95000000	74.90201258	0.00000000
1690.95000000	69.90346674	0.00000000
1690.95000000	69.90346674	0.00000000
1690.95000000	69.90346674	0.00000000
1690.95000000	69.90346674	0.00000000
1690.95000000	69.90346674	0.00000000
1690.95000000	69.90346674	0.00000000
1690.95000000	69.90346674	0.00000000
1690.95000000	69.90346674	0.00000000
1690.95000000	69.90346674	0.90000000
1692.60000000	72.19249560	0.90000000
1692.60000000	72.19249560	0.00000000
