NAME_ID s	iID i	N.X d	N.Y d	N.Z d	D.X d	D.Y d	D.Z d	S.X d	S.Y d	S.Z d	NC.X d	NC.Y d	NC.Z d	DC.X d	DC.Y d	DC.Z d	SC.X d	SC.Y d	SC.Z d	LPITCH  d	LPITCHSENSE s	PITCHANGLE  d	MISFIT d	LINEATION s	OFFSET s	DEPTH d	GC s	COLOR s	LOC s	LOCX d	LOCY d	FORMATION s	DATATYPE s	DIPDIR d	DIP d	LDIR d	LDIP d	corr.DIPDIR d	corr.DIP d	corrL.DIPDIR d	corrL.DIP d	PALEON d	COMMENT s	DATAGROUP s	PSCOLOR s	DASHED s	ptnP.X d	ptnP.Y d	ptnP.Z d	ptnT.X d	ptnT.Y d	ptnT.Z d	ptnN.X d	ptnN.Y d	ptnN.Z d	avD.X d	avD.Y d	avD.Z d	avS0D.X d	avS0D.Y d	avS0D.Z d	avS0N.X d	avS0N.Y d	avS0N.Z d	avS0d.DIPDIR d	avS0d.DIP d	avd.DIPDIR d	avd.DIP d	avS0offset s	TRAJECTORY.X d	TRAJECTORY.Y d	TRAJECTORY.Z d	fold_great_circle_N.X d	fold_great_circle_N.Y d	fold_great_circle_N.Z d	SHEAR_S.X d	SHEAR_S.Y d	SHEAR_S.Z d	NORMAL_S.X d	NORMAL_S.Y d	NORMAL_S.Z d	lambda d	ANG d	RUP d
ANG_001	0	-0.62861640	0.77430299	0.07277574	-0.04586966	0.05650029	-0.99734833	-0.77636164	-0.63028771	0.00000000	-0.05189600	-0.04255597	0.99774536	-0.77151524	-0.63266107	0.06711338	0.62837857	-0.76629283	-0.00000000	80.00000000	E	176.14154748	NAN	PITCH	SINISTRAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	151.00000000	61.00000000	NAN	NAN	320.92864729	85.82656762	50.64742256	3.84820576	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.33576321	-0.28077321	0.08707952	0.22051232	-0.27161771	-0.02552900	0.86602540	7.42412640	21.09380866
ANG_002	1	0.61750622	-0.73798591	0.27214493	0.17464286	-0.20871688	-0.96225627	0.76693282	0.64172740	0.00000000	0.16510166	0.12224592	0.97867123	0.78653588	0.58237332	-0.20543277	-0.59506533	0.80367733	0.00000000	80.00000000	S	12.32699516	NAN	PITCH	SINISTRAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	128.00000000	59.00000000	NAN	NAN	140.07925171	74.20805708	53.48271027	11.85483399	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.36566863	0.30635993	0.00105333	-0.22722152	0.27155400	-0.10014019	0.86602540	12.45846829	19.71799137
ANG_003	2	-0.81510698	0.21758137	0.53689753	-0.51873435	0.13846886	-0.84364747	-0.25790556	-0.96617013	0.00000000	-0.06698295	0.50983929	0.85765796	-0.11171949	0.85035048	-0.51422059	-0.99147972	-0.13026113	-0.00000000	58.00000000	W	142.44514543	NAN	PITCH	DEXTRAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	352.00000000	80.00000000	NAN	NAN	284.94582189	57.52731129	352.51531785	30.94537266	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.01119631	0.08972872	-0.05336119	0.07453660	-0.01989650	-0.04909603	0.86602540	0.51191990	66.87725939
ANG_004	3	-0.99260191	-0.01224455	0.12079538	-0.12078619	-0.00149000	-0.99267743	0.01233487	-0.99992392	0.00000000	-0.01912899	0.33929381	0.94048593	-0.05293943	0.93899479	-0.33983262	-0.99841449	-0.05628944	-0.00000000	78.00000000	W	159.98053146	NAN	PITCH	DEXTRAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	324.00000000	68.00000000	NAN	NAN	269.29324586	83.06199154	356.77314683	19.86667652	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.01418502	0.24886374	-0.09133509	0.10569614	0.00130385	-0.01286276	0.86602540	0.25899681	41.64619371
ANG_005	4	0.98999840	0.13159168	0.05086066	0.05041722	0.00670151	-0.99870576	-0.13176221	0.99128135	-0.00000000	0.04539138	-0.41602145	0.90822122	0.09850982	-0.90286300	0.41849041	0.64589834	0.07047285	-0.00000000	78.00000000	W	24.77353542	NAN	PITCH	DEXTRAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	312.00000000	63.00000000	NAN	NAN	82.42856431	87.08464098	353.77318815	24.73931748	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	0.03581240	-0.31168674	0.10934115	-0.13839683	-0.01839586	-0.00711007	0.86602540	5.53361299	33.20958773
ANG_006	5	-0.38121990	0.34205450	0.85887724	-0.63926770	0.57359124	-0.51218150	-0.66783845	-0.74430626	0.00000000	0.06036064	-0.41227635	0.90905709	0.13168948	-0.89946800	0.41667157	0.64588393	0.09456270	-0.00000000	59.00000000	W	125.55839312	NAN	PITCH	REVERSE	NAN	XXB		ANG002	0.00000000	0.00000000		STRIAE	202.00000000	88.00000000	NAN	NAN	311.90045356	30.80924815	351.67060660	24.62462753	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.01309425	-0.04814725	0.01336302	0.04307764	-0.03865197	-0.09705266	0.86602540	24.10398794	77.48053052
ANG_007	6	-0.87304843	0.18589399	0.45081023	-0.44092587	0.09388422	-0.89261981	-0.20825663	-0.97807422	0.00000000	-0.02127106	0.44920592	0.89317500	-0.04224681	0.89217531	-0.44970926	-0.99888075	-0.04729958	-0.00000000	65.00000000	W	149.74772420	NAN	PITCH	DEXTRAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	346.00000000	78.00000000	NAN	NAN	282.02020561	63.20432046	357.28892195	26.72503199	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.00836414	0.11354616	-0.06301952	0.07569769	-0.01611794	-0.03908752	0.86602540	2.60402631	62.55854764
ANG_008	7	-0.98515044	-0.16436513	0.04962574	-0.04894913	-0.00816680	-0.99876788	0.16456789	-0.98636576	0.00000000	-0.06198942	0.33440667	0.94038795	-0.17140099	0.92463571	-0.34010367	-0.98324921	-0.18226626	-0.00000000	80.00000000	W	160.09124423	NAN	PITCH	DEXTRAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	318.00000000	60.00000000	NAN	NAN	260.52786651	87.15548648	349.49820931	19.88319059	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.06309344	0.34484004	-0.11036312	0.18138247	0.03026234	-0.00913692	0.86602540	2.41169337	28.75959144
ANG_009	8	-0.52737062	0.78427065	0.32680235	-0.18235879	0.27119190	-0.94509271	-0.82983462	-0.55800941	0.00000000	-0.24179695	-0.20715630	0.94795596	-0.71988631	-0.61675295	0.31840148	0.51869577	-0.60543201	-0.00000000	86.00000000	E	160.31189906	NAN	PITCH	SINISTRAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	169.00000000	61.00000000	NAN	NAN	326.08175341	70.92519441	49.41212607	18.56628048	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.29177353	-0.26192816	0.15773993	0.18869686	-0.28061746	-0.11693214	0.86602540	3.57248792	22.86513336
ANG_010	9	-0.52755189	0.83394232	0.16195434	-0.08658235	0.13686746	-0.98679825	-0.84509911	-0.53460967	0.00000000	-0.23385360	-0.16450330	0.95825423	-0.78376163	-0.55133371	0.28591754	0.48128348	-0.68418005	-0.00000000	88.00000000	E	163.15745069	NAN	PITCH	SINISTRAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	159.00000000	56.00000000	NAN	NAN	327.68255577	80.67964891	54.87569664	16.61370206	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.35716714	-0.25300435	0.13934073	0.22861977	-0.36139706	-0.07018449	0.86602540	1.06046080	19.11345402
ANG_011	10	-0.99760988	0.01491520	0.06746904	-0.06746150	0.00100861	-0.99772137	-0.01494926	-0.99988825	0.00000000	-0.01224213	0.50235993	0.86457193	-0.02106271	0.86431533	-0.50250908	-0.99970320	-0.02436201	-0.00000000	69.00000000	W	149.75777664	NAN	PITCH	DEXTRAL	NAN	XXA		ANG002	0.00000000	0.00000000		STRIAE	321.00000000	70.00000000	NAN	NAN	270.85656163	86.13136997	358.60402147	30.16613855	30.00000000		STRIAE	0.00 0.00 0.00	   	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	-0.10345712	-0.99463381	-0.00044721	-0.00004627	-0.00044481	0.99999990	185.93828269	0.02562345	NAN	NAN	NORMAL	NAN	NAN	NAN	NAN	NAN	NAN	-0.00267343	0.21919863	-0.08798756	0.08388305	-0.00125413	-0.00567307	0.86602540	8.32036082	46.29990412
