D1.DIPDIR d	D1.DIP d	D2.DIPDIR d	D2.DIP d	T1.X d	T1.Y d	T1.Z d	T2.X d	T2.Y d	T2.Z d	ANG d
192.90603682	13.61916143	192.90603682	10.97353085	-0.21707265	-0.94733029	-0.23546715	-0.21926886	-0.95691481	-0.19035549	2.64563059
192.90603682	13.61916143	192.90603682	36.12643320	-0.21707265	-0.94733029	-0.23546715	-0.18040609	-0.78731313	-0.58956906	22.50727177
192.90603682	13.61916143	192.90603682	23.88526319	-0.21707265	-0.94733029	-0.23546715	-0.20422446	-0.89125931	-0.40490642	10.26610175
192.90603682	13.61916143	192.90603682	25.35591777	-0.21707265	-0.94733029	-0.23546715	-0.20183613	-0.88083635	-0.42824000	11.73675634
192.90603682	13.61916143	192.90603682	40.30942235	-0.21707265	-0.94733029	-0.23546715	-0.17032036	-0.74329786	-0.64691519	26.69026092
192.90603682	13.61916143	192.90603682	34.59793580	-0.21707265	-0.94733029	-0.23546715	-0.18385440	-0.80236196	-0.56781409	20.97877437
192.90603682	13.61916143	192.90603682	7.40334073	-0.21707265	-0.94733029	-0.23546715	-0.22149087	-0.96661191	-0.12885342	6.21582071
192.90603682	13.61916143	192.90603682	13.15962151	-0.21707265	-0.94733029	-0.23546715	-0.21748748	-0.94914065	-0.22766470	0.45953993
192.90603682	13.61916143	192.90603682	22.25869271	-0.21707265	-0.94733029	-0.23546715	-0.20670925	-0.90210318	-0.37878903	8.63953128
192.90603682	13.61916143	192.90603682	42.55416203	-0.21707265	-0.94733029	-0.23546715	-0.16453026	-0.71802916	-0.67628686	28.93500059
192.90603682	13.61916143	192.90603682	44.33094395	-0.21707265	-0.94733029	-0.23546715	-0.15976772	-0.69724490	-0.69880171	30.71178251
192.90603682	13.61916143	192.90603682	37.39347995	-0.21707265	-0.94733029	-0.23546715	-0.17745018	-0.77441322	-0.60728543	23.77431852
192.90603682	13.61916143	192.90603682	24.29031629	-0.21707265	-0.94733029	-0.23546715	-0.20358002	-0.88844688	-0.41136031	10.67115485
192.90603682	13.61916143	192.90603682	52.17681860	-0.21707265	-0.94733029	-0.23546715	-0.13696591	-0.59773516	-0.78990697	38.55765717
192.90603682	13.61916143	192.90603682	42.93545156	-0.21707265	-0.94733029	-0.23546715	-0.16352141	-0.71362647	-0.68117400	29.31629012
192.90603682	13.61916143	192.90603682	37.64083958	-0.21707265	-0.94733029	-0.23546715	-0.17686294	-0.77185045	-0.61070974	24.02167814
192.90603682	13.61916143	192.90603682	25.53259908	-0.21707265	-0.94733029	-0.23546715	-0.20154022	-0.87954498	-0.43102456	11.91343764
192.90603682	13.61916143	192.90603682	6.34586083	-0.21707265	-0.94733029	-0.23546715	-0.22198429	-0.96876526	-0.11052986	7.27330061
192.90603682	13.61916143	192.90603682	15.82496182	-0.21707265	-0.94733029	-0.23546715	-0.21488758	-0.93779441	-0.27269943	2.20580038
192.90603682	13.61916143	192.90603682	20.92654763	-0.21707265	-0.94733029	-0.23546715	-0.20862026	-0.91044308	-0.35717082	7.30738620
192.90603682	13.61916143	192.90603682	56.68899231	-0.21707265	-0.94733029	-0.23546715	-0.12266166	-0.53530973	-0.83570187	43.06983088
192.90603682	13.61916143	192.90603682	41.49281213	-0.21707265	-0.94733029	-0.23546715	-0.16729994	-0.73011637	-0.66252608	27.87365069
192.90603682	13.61916143	192.90603682	14.86069687	-0.21707265	-0.94733029	-0.23546715	-0.21588217	-0.94213487	-0.25646983	1.24153543
192.90603682	13.61916143	192.90603682	28.30725377	-0.21707265	-0.94733029	-0.23546715	-0.19664369	-0.85817593	-0.47419968	14.68809233
192.90603682	13.61916143	192.90603682	18.85165054	-0.21707265	-0.94733029	-0.23546715	-0.21137181	-0.92245114	-0.32311894	5.23248911
192.90603682	13.61916143	192.90603682	11.65060567	-0.21707265	-0.94733029	-0.23546715	-0.21875114	-0.95465541	-0.20194304	1.96855577
192.90603682	13.61916143	192.90603682	26.44227423	-0.21707265	-0.94733029	-0.23546715	-0.19998642	-0.87276398	-0.44529594	12.82311280
192.90603682	13.61916143	192.90603682	7.08940424	-0.21707265	-0.94733029	-0.23546715	-0.22164524	-0.96728558	-0.12341796	6.52975720
192.90603682	13.61916143	192.90603682	13.16020297	-0.21707265	-0.94733029	-0.23546715	-0.21748696	-0.94913840	-0.22767458	0.45895846
